State , Action | Next State, Reward | Probability
[ 0  1], RIGHT | [ 0  2], 0 | 0.1
[ 0  1], RIGHT | [ 0  0], 0 | 0.1
[ 0  1], DOWN  | [ 0  0], 0 | 0.8
[ 0  1], DOWN  | [ 1  1], 0 | 0.1
[ 0  1], DOWN  | [ 0  1], 0 | 0.1
[ 0  1], UP    | [ 0  2], 0 | 0.8
[ 0  1], UP    | [ 0  1], 0 | 0.1
[ 0  1], UP    | [ 1  1], 0 | 0.1
[ 1  1], LEFT  | [ 0  1], 0 | 0.8
[ 1  1], LEFT  | [ 1  0], 0 | 0.1
[ 1  1], LEFT  | [ 1  2], 0 | 0.1
[ 1  1], RIGHT | [ 2  1], 0 | 0.8
[ 1  1], RIGHT | [ 1  2], 0 | 0.1
[ 1  1], RIGHT | [ 1  0], 0 | 0.1
[ 1  1], DOWN  | [ 1  0], 0 | 0.8
[ 1  1], DOWN  | [ 2  1], 0 | 0.1
[ 1  1], DOWN  | [ 0  1], 0 | 0.1
[ 1  1], UP    | [ 1  2], 0 | 0.8
[ 1  1], UP    | [ 0  1], 0 | 0.1
[ 1  1], UP    | [ 2  1], 0 | 0.1
[ 2  1], LEFT  | [ 1  1], 0 | 0.8
[ 2  1], LEFT  | [ 2  0], 0 | 0.1
[ 2  1], LEFT  | [ 2  2], 0 | 0.1
[ 2  1], RIGHT | [ 3  1], 0 | 0.8
[ 2  1], RIGHT | [ 2  2], 0 | 0.1
[ 2  1], RIGHT | [ 2  0], 0 | 0.1
[ 2  1], DOWN  | [ 2  0], 0 | 0.8
[ 2  1], DOWN  | [ 3  1], 0 | 0.1
[ 2  1], DOWN  | [ 1  1], 0 | 0.1
[ 2  1], UP    | [ 2  2], 0 | 0.8
[ 2  1], UP    | [ 1  1], 0 | 0.1
[ 2  1], UP    | [ 3  1], 0 | 0.1
[ 3  1], LEFT  | [ 2  1], 0 | 0.8
[ 3  1], LEFT  | [ 3  0], 0 | 0.1
[ 3  1], LEFT  | [ 3  2], 0 | 0.1
[ 3  1], RIGHT | [ 4  1], 0 | 0.8
[ 3  1], RIGHT | [ 3  2], 0 | 0.1
[ 3  1], RIGHT | [ 3  0], 0 | 0.1
[ 3  1], DOWN  | [ 3  0], 0 | 0.8
[ 3  1], DOWN  | [ 4  1], 0 | 0.1
[ 3  1], DOWN  | [ 2  1], 0 | 0.1
[ 3  1], UP    | [ 3  2], 0 | 0.8
[ 3  1], UP    | [ 2  1], 0 | 0.1
[ 3  1], UP    | [ 4  1], 0 | 0.1
[ 4  1], LEFT  | [ 3  1], 0 | 0.8
[ 4  1], LEFT  | [ 4  0], 0 | 0.1
[ 4  1], LEFT  | [ 4  2], 0 | 0.1
[ 4  1], RIGHT | [ 5  1], 0 | 0.8
[ 4  1], RIGHT | [ 4  2], 0 | 0.1
[ 4  1], RIGHT | [ 4  0], 0 | 0.1
[ 4  1], DOWN  | [ 4  0], 0 | 0.8
[ 4  1], DOWN  | [ 5  1], 0 | 0.1
[ 4  1], DOWN  | [ 3  1], 0 | 0.1
[ 4  1], UP    | [ 4  2], 0 | 0.8
[ 4  1], UP    | [ 3  1], 0 | 0.1
[ 4  1], UP    | [ 5  1], 0 | 0.1
[ 5  1], LEFT  | [ 4  1], 0 | 0.8
[ 5  1], LEFT  | [ 5  1], 0 | 0.1
[ 5  1], LEFT  | [ 5  1], 0 | 0.1
[ 5  1], RIGHT | [ 6  1], 0 | 0.8
[ 5  1], RIGHT | [ 5  1], 0 | 0.1
[ 5  1], RIGHT | [ 5  1], 0 | 0.1
[ 5  1], DOWN  | [ 5  1], 0 | 0.8
[ 5  1], DOWN  | [ 6  1], 0 | 0.1
[ 5  1], DOWN  | [ 4  1], 0 | 0.1
[ 5  1], UP    | [ 5  1], 0 | 0.8
[ 5  1], UP    | [ 4  1], 0 | 0.1
[ 5  1], UP    | [ 6  1], 0 | 0.1
[ 6  1], LEFT  | [ 5  1], 0 | 0.8
[ 6  1], LEFT  | [ 6  0], 0 | 0.1
[ 6  1], LEFT  | [ 6  2], 0 | 0.1
[ 6  1], RIGHT | [ 7  1], 0 | 0.8
[ 6  1], RIGHT | [ 6  2], 0 | 0.1
[ 6  1], RIGHT | [ 6  0], 0 | 0.1
[ 6  1], DOWN  | [ 6  0], 0 | 0.8
[ 6  1], DOWN  | [ 7  1], 0 | 0.1
[ 6  1], DOWN  | [ 5  1], 0 | 0.1
[ 6  1], UP    | [ 6  2], 0 | 0.8
[ 6  1], UP    | [ 5  1], 0 | 0.1
[ 6  1], UP    | [ 7  1], 0 | 0.1
[ 7  1], LEFT  | [ 6  1], 0 | 0.8
[ 7  1], LEFT  | [ 7  0], 0 | 0.1
[ 7  1], LEFT  | [ 7  2], 0 | 0.1
[ 7  1], RIGHT | [ 8  1], 0 | 0.8
[ 7  1], RIGHT | [ 7  2], 0 | 0.1
[ 7  1], RIGHT | [ 7  0], 0 | 0.1
[ 7  1], DOWN  | [ 7  0], 0 | 0.8
[ 7  1], DOWN  | [ 8  1], 0 | 0.1
[ 7  1], DOWN  | [ 6  1], 0 | 0.1
[ 7  1], UP    | [ 7  2], 0 | 0.8
[ 7  1], UP    | [ 6  1], 0 | 0.1
[ 7  1], UP    | [ 8  1], 0 | 0.1
[ 8  1], LEFT  | [ 7  1], 0 | 0.8
[ 8  1], LEFT  | [ 8  0], 0 | 0.1
[ 8  1], LEFT  | [ 8  2], 0 | 0.1
[ 8  1], RIGHT | [ 9  1], 0 | 0.8
[ 8  1], RIGHT | [ 8  2], 0 | 0.1
[ 8  1], RIGHT | [ 8  0], 0 | 0.1
[ 8  1], DOWN  | [ 8  0], 0 | 0.8
[ 8  1], DOWN  | [ 9  1], 0 | 0.1
[ 8  1], DOWN  | [ 7  1], 0 | 0.1
[ 8  1], UP    | [ 8  2], 0 | 0.8
[ 8  1], UP    | [ 7  1], 0 | 0.1
[ 8  1], UP    | [ 9  1], 0 | 0.1
[ 9  1], LEFT  | [ 8  1], 0 | 0.8
[ 9  1], LEFT  | [ 9  0], 0 | 0.1
[ 9  1], LEFT  | [ 9  2], 0 | 0.1
[ 9  1], RIGHT | [10  1], 0 | 0.8
[ 9  1], RIGHT | [ 9  2], 0 | 0.1
[ 9  1], RIGHT | [ 9  0], 0 | 0.1
[ 9  1], DOWN  | [ 9  0], 0 | 0.8
[ 9  1], DOWN  | [10  1], 0 | 0.1
[ 9  1], DOWN  | [ 8  1], 0 | 0.1
[ 9  1], UP    | [ 9  2], 0 | 0.8
[ 9  1], UP    | [ 8  1], 0 | 0.1
[ 9  1], UP    | [10  1], 0 | 0.1
[10  1], LEFT  | [ 9  1], 0 | 0.8
[10  1], LEFT  | [10  0], 0 | 0.1
[10  1], LEFT  | [10  2], 0 | 0.1
[10  1], RIGHT | [10  1], 0 | 0.8
[10  1], RIGHT | [10  2], 0 | 0.1
[10  1], RIGHT | [10  0], 0 | 0.1
[10  1], DOWN  | [10  0], 0 | 0.8
[10  1], DOWN  | [10  1], 0 | 0.1
[10  1], DOWN  | [ 9  1], 0 | 0.1
[10  1], UP    | [10  2], 0 | 0.8
[10  1], UP    | [ 9  1], 0 | 0.1
[10  1], UP    | [10  1], 0 | 0.1
[ 0  0], LEFT  | [ 0  0], 0 | 0.8
[ 0  0], LEFT  | [ 0  0], 0 | 0.1
[ 0  0], LEFT  | [ 0  1], 0 | 0.1
[ 0  0], RIGHT | [ 1  0], 0 | 0.8
[ 0  0], RIGHT | [ 0  1], 0 | 0.1
[ 0  0], RIGHT | [ 0  0], 0 | 0.1
[ 0  0], DOWN  | [ 0  0], 0 | 0.8
[ 0  0], DOWN  | [ 1  0], 0 | 0.1
[ 0  0], DOWN  | [ 0  0], 0 | 0.1
[ 0  0], UP    | [ 0  1], 0 | 0.8
[ 0  0], UP    | [ 0  0], 0 | 0.1
[ 0  0], UP    | [ 1  0], 0 | 0.1
[ 1  0], LEFT  | [ 0  0], 0 | 0.8
[ 1  0], LEFT  | [ 1  0], 0 | 0.1
[ 1  0], LEFT  | [ 1  1], 0 | 0.1
[ 1  0], RIGHT | [ 2  0], 0 | 0.8
[ 1  0], RIGHT | [ 1  1], 0 | 0.1
[ 1  0], RIGHT | [ 1  0], 0 | 0.1
[ 1  0], DOWN  | [ 1  0], 0 | 0.8
[ 1  0], DOWN  | [ 2  0], 0 | 0.1
[ 1  0], DOWN  | [ 0  0], 0 | 0.1
[ 1  0], UP    | [ 1  1], 0 | 0.8
[ 1  0], UP    | [ 0  0], 0 | 0.1
[ 1  0], UP    | [ 2  0], 0 | 0.1
[ 2  0], LEFT  | [ 1  0], 0 | 0.8
[ 2  0], LEFT  | [ 2  0], 0 | 0.1
[ 2  0], LEFT  | [ 2  1], 0 | 0.1
[ 2  0], RIGHT | [ 3  0], 0 | 0.8
[ 2  0], RIGHT | [ 2  1], 0 | 0.1
[ 2  0], RIGHT | [ 2  0], 0 | 0.1
[ 2  0], DOWN  | [ 2  0], 0 | 0.8
[ 2  0], DOWN  | [ 3  0], 0 | 0.1
[ 2  0], DOWN  | [ 1  0], 0 | 0.1
[ 2  0], UP    | [ 2  1], 0 | 0.8
[ 2  0], UP    | [ 1  0], 0 | 0.1
[ 2  0], UP    | [ 3  0], 0 | 0.1
[ 3  0], LEFT  | [ 2  0], 0 | 0.8
[ 3  0], LEFT  | [ 3  0], 0 | 0.1
[ 3  0], LEFT  | [ 3  1], 0 | 0.1
[ 3  0], RIGHT | [ 4  0], 0 | 0.8
[ 3  0], RIGHT | [ 3  1], 0 | 0.1
[ 3  0], RIGHT | [ 3  0], 0 | 0.1
[ 3  0], DOWN  | [ 3  0], 0 | 0.8
[ 3  0], DOWN  | [ 4  0], 0 | 0.1
[ 3  0], DOWN  | [ 2  0], 0 | 0.1
[ 3  0], UP    | [ 3  1], 0 | 0.8
[ 3  0], UP    | [ 2  0], 0 | 0.1
[ 3  0], UP    | [ 4  0], 0 | 0.1
[ 4  0], LEFT  | [ 3  0], 0 | 0.8
[ 4  0], LEFT  | [ 4  0], 0 | 0.1
[ 4  0], LEFT  | [ 4  1], 0 | 0.1
[ 4  0], RIGHT | [ 4  0], 0 | 0.8
[ 4  0], RIGHT | [ 4  1], 0 | 0.1
[ 4  0], RIGHT | [ 4  0], 0 | 0.1
[ 4  0], DOWN  | [ 4  0], 0 | 0.8
[ 4  0], DOWN  | [ 4  0], 0 | 0.1
[ 4  0], DOWN  | [ 3  0], 0 | 0.1
[ 4  0], UP    | [ 4  1], 0 | 0.8
[ 4  0], UP    | [ 3  0], 0 | 0.1
[ 4  0], UP    | [ 4  0], 0 | 0.1
[ 6  0], LEFT  | [ 6  0], 0 | 0.8
[ 6  0], LEFT  | [ 6  0], 0 | 0.1
[ 6  0], LEFT  | [ 6  1], 0 | 0.1
[ 6  0], RIGHT | [ 7  0], 0 | 0.8
[ 6  0], RIGHT | [ 6  1], 0 | 0.1
[ 6  0], RIGHT | [ 6  0], 0 | 0.1
[ 6  0], DOWN  | [ 6  0], 0 | 0.8
[ 6  0], DOWN  | [ 7  0], 0 | 0.1
[ 6  0], DOWN  | [ 6  0], 0 | 0.1
[ 6  0], UP    | [ 6  1], 0 | 0.8
[ 6  0], UP    | [ 6  0], 0 | 0.1
[ 6  0], UP    | [ 7  0], 0 | 0.1
[ 7  0], LEFT  | [ 6  0], 0 | 0.8
[ 7  0], LEFT  | [ 7  0], 0 | 0.1
[ 7  0], LEFT  | [ 7  1], 0 | 0.1
[ 7  0], RIGHT | [ 8  0], 0 | 0.8
[ 7  0], RIGHT | [ 7  1], 0 | 0.1
[ 7  0], RIGHT | [ 7  0], 0 | 0.1
[ 7  0], DOWN  | [ 7  0], 0 | 0.8
[ 7  0], DOWN  | [ 8  0], 0 | 0.1
[ 7  0], DOWN  | [ 6  0], 0 | 0.1
[ 7  0], UP    | [ 7  1], 0 | 0.8
[ 7  0], UP    | [ 6  0], 0 | 0.1
[ 7  0], UP    | [ 8  0], 0 | 0.1
[ 8  0], LEFT  | [ 7  0], 0 | 0.8
[ 8  0], LEFT  | [ 8  0], 0 | 0.1
[ 8  0], LEFT  | [ 8  1], 0 | 0.1
[ 8  0], RIGHT | [ 9  0], 0 | 0.8
[ 8  0], RIGHT | [ 8  1], 0 | 0.1
[ 8  0], RIGHT | [ 8  0], 0 | 0.1
[ 8  0], DOWN  | [ 8  0], 0 | 0.8
[ 8  0], DOWN  | [ 9  0], 0 | 0.1
[ 8  0], DOWN  | [ 7  0], 0 | 0.1
[ 8  0], UP    | [ 8  1], 0 | 0.8
[ 8  0], UP    | [ 7  0], 0 | 0.1
[ 8  0], UP    | [ 9  0], 0 | 0.1
[ 9  0], LEFT  | [ 8  0], 0 | 0.8
[ 9  0], LEFT  | [ 9  0], 0 | 0.1
[ 9  0], LEFT  | [ 9  1], 0 | 0.1
[ 9  0], RIGHT | [10  0], 0 | 0.8
[ 9  0], RIGHT | [ 9  1], 0 | 0.1
[ 9  0], RIGHT | [ 9  0], 0 | 0.1
[ 9  0], DOWN  | [ 9  0], 0 | 0.8
[ 9  0], DOWN  | [10  0], 0 | 0.1
[ 9  0], DOWN  | [ 8  0], 0 | 0.1
[ 9  0], UP    | [ 9  1], 0 | 0.8
[ 9  0], UP    | [ 8  0], 0 | 0.1
[ 9  0], UP    | [10  0], 0 | 0.1
[10  0], LEFT  | [ 9  0], 0 | 0.8
[10  0], LEFT  | [10  0], 0 | 0.1
[10  0], LEFT  | [10  1], 0 | 0.1
[10  0], RIGHT | [10  0], 0 | 0.8
[10  0], RIGHT | [10  1], 0 | 0.1
[10  0], RIGHT | [10  0], 0 | 0.1
[10  0], DOWN  | [10  0], 0 | 0.8
[10  0], DOWN  | [10  0], 0 | 0.1
[10  0], DOWN  | [ 9  0], 0 | 0.1
[10  0], UP    | [10  1], 0 | 0.8
[10  0], UP    | [ 9  0], 0 | 0.1
[10  0], UP    | [10  0], 0 | 0.1
